Carimbo de data/hora,  Código do participante: invente 3 letras + 2 números e anote no caderno,"Numa sala qualquer, quantas pessoas são necessárias para que a chance de haver duas com o mesmo aniversário passe de 50%?","Só o dia do mês, o número de 1 a 31.
Quantas pessoas até 50% de chance de duas coincidirem?",Sistema operacional principal  ,Linguagem que mais usa hoje  ,  Editor ou IDE principal  ,  Tema da interface  ,  Como você chega ao campus  ,Sua confiança em programação hoje,Com que frequência usa o terminal  ,  Turno em que você mais estuda  ,Dia do mês do seu aniversário  ,Mês do seu aniversário  ,Quantas abas estão abertas no seu navegador AGORA  ,Em quantas linguagens você já escreveu ao menos um programa  ,Quantas letras tem seu primeiro nome  ,Em quantas disciplinas você está matriculado neste semestre  ,"Tempo de deslocamento de casa até o campus, em minutos  ",Quantas horas você dormiu na última noite  ,Seu tempo de reação médio em ms (faça 5 tentativas em: humanbenchmark.com/tests/reactiontime e informe a média)  
25/08/2026 20:53:18,SIX07,183,16,Windows,Outra,JetBrains,Escuro,Carro,3,Frequentemente,Noite,10,9,15,3,5,5,10,8,307
25/08/2026 20:54:05,MVL03,23,7,Windows,Python,VS Code,Claro,A pé,3,Frequentemente,Manhã,26,04,4,4,6,4,5,7,458
25/08/2026 20:54:07,STR35,183,16,Windows,Java,VS Code,Escuro,Ônibus,3,Sempre,Noite,20,08,2,4,7,6,17,6,267.333
25/08/2026 20:54:47,GVP05,23,7,Windows,Python,VS Code,Escuro,A pé,3,Sempre,Tarde,05,03,11,3,7,8,15,6,371
25/08/2026 20:54:54,RLS18,368,32,Windows,Python,VS Code,Escuro,Carro,3,Frequentemente,Madrugada,27,08,8,4,4,6,15,2,256
25/08/2026 20:55:39,BRL66,183,16,Windows,Python,VS Code,Escuro,A pé,3,Frequentemente,Noite,15,10,28,9,8,3,10,8,259
25/08/2026 20:55:44,gdm07,32,12,Windows,Python,JetBrains,Escuro,A pé,3,Às vezes,Tarde,26,07,3,2,7,6,30,8,376
25/08/2026 20:56:53,APT27,135,16,Windows,Python,VS Code,Escuro,Carro,3,Às vezes,Tarde,6,10,10,6,8,3,8,8,851
25/08/2026 21:00:57,bru90,416,81,Windows,Python,VS Code,Escuro,moto,2,Raramente,Tarde,18,05,10,2,5,5,10,8,481
25/08/2026 21:03:55,FAD07,183,16,Windows,Python,VS Code,Escuro,A pé,3,Frequentemente,Noite,23,10,5,3,4,6,10,7,390
25/08/2026 21:04:04,COR10,23,7,Windows,Outra,VS Code,Escuro,A pé,3,Às vezes,Tarde,26,10,5,7,5,6,5,6,351
25/08/2026 21:05:36,MAR06,34,20,Windows,Python,VS Code,Escuro,A pé,3,Às vezes,Tarde,22,04,2,3,6,6,3,7,306
25/08/2026 21:06:39,dyo19,20,1,Windows,Python,VS Code,Escuro,A pé,4,Frequentemente,Noite,29,12,11,4,9,6,3,8,295
25/08/2026 21:06:59,xyz01,23,7,Windows,Python,Outro,Escuro,A pé,2,Raramente,Noite,03,12,13,3,9,4,10,8,310
25/08/2026 21:09:01,sug25,23,7,Windows,Python,Outro,Escuro,Carro,4,Às vezes,Noite,12,10,36,4,7,6,3,4,273
25/08/2026 21:13:57,YEM99,23,7,Windows,Python,VS Code,Escuro,Carro,3,Às vezes,Madrugada,04,01,10,2,4,6,6,8,318
25/08/2026 21:20:29,ASV25,32,7,Windows,Python,VS Code,Escuro,Carro,3,Frequentemente,Madrugada,4,11,3,7,5,5,15,6,200
25/08/2026 21:20:33,tuy06,366,32,Windows,Java,Outro,Escuro,A pé,2,Raramente,Noite,18,06,2,4,7,6,6,7,1
25/08/2026 21:24:21,abc19,2,4,Windows,Python,VS Code,Escuro,A pé,3,Frequentemente,Madrugada,19,04,1,3,5,7,5,7,220
26/08/2026 21:31:11,iqw26,23,7,Windows,Python,VS Code,Escuro,Carro,2,Raramente,Tarde,8,3,5,3,7,5,20,10,259
